title,category,venue_name,venue_map_url,price_text,tickets_url,detail_url,description,duration_minutes,price_min,price_max,venue_lat,venue_lng,date,time,language,id,price_currency
A Kind of Madness,,,,,https://www.quicket.co.za/events/320504-a-kind-of-madness/?preview=t,https://woordfees.co.za/program/a-kind-of-madness/,,,,,,,,,AFR,a-kind-of-madness,
ATKV-Tienertoneel se wenproduksie,,,,,https://www.quicket.co.za/events/318399-atkv-tienertoneel-wenproduksie/?preview=t,https://woordfees.co.za/program/atkv-tienertoneel-se-wenproduksie/,,,,,,,,,AFR,atkv-tienertoneel-se-wenproduksie,
Aan tafel met Nataniël: Bloei + Blom – ’n viering van Afrikaans,,,,,https://www.quicket.co.za/events/320276-aan-tafel-met-natanil-bloei-blom/?preview=t,https://woordfees.co.za/program/aan-tafel-met-natanielbloei-blom-n-vieringvan-afrikaans/,,,,,,,,,AFR,aan-tafel-met-nataniël-bloei-blom-n-viering-van-afrikaans,
Aandwandelinge,,,,,https://www.quicket.co.za/events/320529-aandwandelinge/?preview=t,https://woordfees.co.za/program/aandwandelinge/,,,,,,,,,AFR,aandwandelinge,
Afrikaans is 100,,,,,https://www.quicket.co.za/events/318407-afrikaans-is-100/?preview=t,https://woordfees.co.za/program/afrikaans-is-100/,,,,,,,,,AFR,afrikaans-is-100,
Afrikaanse Taalraad,,,,,,https://woordfees.co.za/program/gesprekke-oorafrikaans-afrikaanse-taalraad-die-oordrag-van-taal-tussen-generasies/,,,,,,,,,AFR,afrikaanse-taalraad,
Afterpaartie,,,,,,https://woordfees.co.za/program/afterpaartie/,,,,,,,,,AFR,afterpaartie,
Alan Committie presents Comedy Gold,,,,,https://www.quicket.co.za/events/318658-alan-committie/?preview=t,https://woordfees.co.za/program/alan-committie-presents-comedy-gold/,,,,,,,,,AFR,alan-committie-presents-comedy-gold,
Algemene kennis,,,,,https://www.quicket.co.za/events/318584-algemene-kennis/?preview=t,https://woordfees.co.za/program/algemene-kennis/,,,,,,,,,AFR,algemene-kennis,
Alles wat ons deel,,,,,https://www.quicket.co.za/events/319725-dag-van-posie-alles-wat-ons-deel/?preview=t,https://woordfees.co.za/program/alles-wat-ons-deel/,,,,,,,,,AFR,alles-wat-ons-deel,
Amanda Strydom: Breekgoed en balsem,,,,,https://www.quicket.co.za/events/318590-amanda-strydom-breekgoed-en-balsem/?preview=t,https://woordfees.co.za/program/amanda-strydom-breekgoed-en-balsem/,,,,,,,,,AFR,amanda-strydom-breekgoed-en-balsem,
An Apprenticeship with Sorrow,,,,,https://www.quicket.co.za/events/318370-an-apprenticeship-with-sorrow/?preview=t,https://woordfees.co.za/program/an-apprenticeship-with-sorrow/,,,,,,,,,AFR,an-apprenticeship-with-sorrow,
An Evening of Elegance: A Taste of History,,,,,https://www.quicket.co.za/events/320530-an-evening-of-elegance/?preview=t,https://woordfees.co.za/program/an-evening-of-elegance-a-taste-of-history/,,,,,,,,,AFR,an-evening-of-elegance-a-taste-of-history,
André Schwartz: Gesigte,,,,,https://www.quicket.co.za/events/318594-andr-schwartz-gesigte/?preview=t,https://woordfees.co.za/program/andre-schwartz-gesigte/,,,,,,,,,AFR,andré-schwartz-gesigte,
Annie+Helen,,,,,https://www.quicket.co.za/events/318404-anniehelen/?preview=t,https://woordfees.co.za/program/anniehelen/,,,,,,,,,AFR,anniehelen,
